2017/2/24,Friday,18:0:33,TOP,0,GAME,0
2017/2/24,Friday,18:0:37,GAME,0,BACK,0
2017/2/24,Friday,18:0:38,TOP,0,GAME,0
2017/2/24,Friday,18:0:40,GAME,0,JYANKEN,0
2017/2/24,Friday,18:0:48,JYANKEN,1,0,1
2017/2/24,Friday,18:0:51,JYANKEN,2,1,2
2017/2/24,Friday,18:0:55,JYANKEN,2,2,0
2017/2/24,Friday,18:0:59,JYANKEN,3,1,2
2017/2/24,Friday,18:1:2,JYANKEN,3,2,1
2017/2/24,Friday,18:1:8,JYANKENREP,0,JYANKEN,2
2017/2/24,Friday,18:1:15,JYANKEN,1,2,1
2017/2/24,Friday,18:1:18,JYANKEN,2,0,2
2017/2/24,Friday,18:1:22,JYANKEN,2,1,0
2017/2/24,Friday,18:1:26,JYANKEN,3,0,1
2017/2/24,Friday,18:1:45,JYANKENREP,0,BACK,2
2017/2/24,Friday,18:1:49,GAME,0,SHUFFLE,0
2017/2/24,Friday,18:2:9,SHUFFLE,1,1,1
2017/2/24,Friday,18:2:15,SHUFFLEREP,0,SHUFFLE,1
2017/2/24,Friday,18:2:31,SHUFFLE,4,2,0
2017/2/24,Friday,18:2:37,SHUFFLEREP,0,BACK,0
2017/2/24,Friday,18:2:39,GAME,0,BACK,0
2017/2/24,Friday,18:2:40,TOP,0,GAME,0
2017/2/24,Friday,18:2:43,GAME,0,BACK,0
2017/2/24,Friday,18:2:44,TOP,0,GAME,0
2017/2/24,Friday,18:2:46,GAME,0,JYANKEN,0
2017/2/24,Friday,18:2:53,JYANKEN,1,2,0
2017/2/24,Friday,18:2:57,JYANKEN,2,0,1
2017/2/24,Friday,18:3:1,JYANKEN,3,1,1
2017/2/24,Friday,18:3:7,JYANKENREP,0,BACK,2
2017/2/24,Friday,18:3:8,GAME,0,BACK,0
2017/2/24,Friday,18:3:9,TOP,0,OSUSUME,0
2017/2/24,Friday,18:3:22,OSUSUME1,2,0,0
2017/2/24,Friday,18:3:24,OSUSUME2,5,0,0
2017/2/24,Friday,18:3:26,OSUSUME3,14,0,1
2017/2/24,Friday,18:3:59,TOP,0,OSUSUME,0
2017/2/24,Friday,18:4:7,OSUSUME1,3,1,0
2017/2/24,Friday,18:4:8,OSUSUME2,9,1,0
2017/2/24,Friday,18:4:9,OSUSUME3,27,1,14
2017/2/24,Friday,18:4:37,TOP,0,OSUSUME,0
2017/2/24,Friday,18:4:45,OSUSUME1,4,2,0
2017/2/24,Friday,18:4:47,OSUSUME2,13,2,0
2017/2/24,Friday,18:4:48,OSUSUME3,40,2,27
2017/2/24,Friday,18:5:18,TOP,0,QUIZ,0
2017/2/24,Friday,18:6:15,QUIZ2,20,1,1
2017/2/24,Friday,18:7:3,QUIZ3,5,0,1
2017/2/24,Friday,18:8:12,QUIZ4,10,0,1
2017/2/24,Friday,18:19:33,TOP,0,OSUSUME,0
2017/2/24,Friday,18:19:38,OSUSUME1,0,0,0
2017/2/24,Friday,18:19:39,OSUSUME2,0,0,0
2017/2/24,Friday,18:19:41,OSUSUME3,0,0,1
2017/2/24,Friday,18:20:3,TOP,0,OSUSUME,0
2017/2/24,Friday,18:20:9,OSUSUME1,0,1,0
2017/2/24,Friday,18:20:10,OSUSUME2,0,1,0
2017/2/24,Friday,18:20:11,OSUSUME3,0,1,14
2017/2/24,Friday,18:20:59,TOP,0,OSUSUME,0
2017/2/24,Friday,18:21:5,OSUSUME1,0,2,0
2017/2/24,Friday,18:21:6,OSUSUME2,0,2,0
2017/2/24,Friday,18:21:8,OSUSUME3,0,2,27
2017/2/24,Friday,18:21:20,TOP,0,OSUSUME,0
2017/2/24,Friday,18:21:27,OSUSUME1,0,2,0
2017/2/24,Friday,18:21:28,OSUSUME2,0,0,0
2017/2/24,Friday,18:21:29,OSUSUME3,0,1,20
2017/2/24,Friday,18:21:39,TOP,0,QUIZ,0
2017/2/24,Friday,18:22:24,QUIZ2,20,1,1
2017/2/24,Friday,18:23:39,QUIZ3,23,2,0
2017/2/24,Friday,18:30:40,TOP,0,OSUSUME,0
2017/2/24,Friday,18:30:57,OSUSUME1,1,0,0
2017/2/24,Friday,18:31:5,OSUSUME2,2,0,0
2017/2/24,Friday,18:31:18,OSUSUME3,5,0,1
2017/2/24,Friday,18:32:34,TOP,0,QUIZ,0
2017/2/24,Friday,18:33:39,QUIZ1,17,1,1
2017/2/24,Friday,18:34:17,QUIZ2,24,0,0
2017/2/24,Friday,18:35:13,QUIZ3,23,1,1
2017/2/24,Friday,18:35:34,TOP,0,OSUSUME,0
2017/2/24,Friday,18:35:47,OSUSUME1,0,1,0
2017/2/24,Friday,18:35:48,OSUSUME2,0,2,0
2017/2/24,Friday,18:35:50,OSUSUME3,0,0,16
2017/2/24,Friday,18:36:23,TOP,0,OSUSUME,0
2017/2/24,Friday,18:36:43,OSUSUME1,1,2,0
2017/2/24,Friday,18:36:44,OSUSUME2,1,2,0
2017/2/24,Friday,18:36:46,OSUSUME3,1,2,27
2017/2/24,Friday,18:41:28,TOP,0,OSUSUME,0
2017/2/24,Friday,18:41:34,OSUSUME1,1,0,0
2017/2/24,Friday,18:41:35,OSUSUME2,2,0,0
2017/2/24,Friday,18:41:36,OSUSUME3,5,1,2
2017/2/24,Friday,18:42:0,TOP,0,OSUSUME,0
2017/2/24,Friday,18:42:6,OSUSUME1,1,2,0
2017/2/24,Friday,18:42:7,OSUSUME2,4,2,0
2017/2/24,Friday,18:42:8,OSUSUME3,13,2,27
2017/2/28,Tuesday,13:33:10,TOP,0,QUIZ,0
